3;1
22-25,10-17,12-18:56;22-25,9-16,1-8:58;22-25,1-7,11-17:60;25-30,0-19,0-19:63;25-30,0-19,0-19:66;24-28,1-9,3-10:69;20-25,9-16,1-8:72;27-30,10-17,12-18:74;20-25,10-17,12-18:77;23-27,1-6,3-8:79;30-32,7-9,7-10:81;20-25,1-6,3-8:83;20-25,1-7,11-17:84;20-24,7-9,7-10:86;27-30,7-16,1-10:88;
02-06-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-02-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,
02-06-00-00,02-06-09-00,02-06-09-02,02-09-00-00,02-0a-00-00,00-07-00-00,00-07-00-01,00-07-00-00,00-07-00-00,00-07-00-00,00-07-00-00,00-07-00-01,00-07-00-01,00-0d-00-00,00-06-00-01,00-06-00-01,00-06-00-01,02-01-00-00,02-06-00-00,02-06-00-00,
02-06-00-00,02-06-09-01,02-08-09-03,02-07-00-00,02-0c-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,00-02-00-01,00-07-00-01,00-07-00-01,00-07-00-01,02-01-0a-00,02-06-0a-02,02-06-00-00,
02-06-00-00,02-08-00-00,02-0c-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,07-00-00-00,07-05-00-00,07-05-00-00,07-0a-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,02-02-0a-01,02-0d-0a-03,02-06-00-00,
02-06-07-00,02-0b-07-02,06-06-07-04,06-06-00-01,06-06-00-01,06-06-00-01,07-00-00-00,07-0e-00-00,07-06-00-00,07-06-00-00,07-09-00-00,07-05-00-00,07-0a-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,02-01-00-00,02-06-00-00,
02-06-07-01,02-0b-07-03,06-06-07-05,06-06-00-00,06-06-00-01,06-06-00-01,07-01-00-00,07-06-00-00,07-06-00-00,07-06-00-00,07-08-00-00,07-07-00-00,07-0c-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,02-02-00-00,02-0d-00-00,
02-06-00-00,02-0b-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,07-02-00-00,07-07-00-00,07-07-00-00,07-0d-00-00,07-0b-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-01,06-06-00-00,02-02-00-00,
02-06-00-00,02-09-00-00,02-0a-00-00,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,07-02-00-00,07-0c-00-00,06-06-00-00,07-00-00-00,07-05-00-00,07-05-00-00,07-05-00-00,07-0a-00-00,06-06-00-01,06-06-00-00,06-06-00-00,
02-06-00-00,02-06-00-00,02-0b-00-00,06-06-00-03,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,07-01-00-00,07-06-00-00,07-06-00-00,07-06-00-00,07-09-00-00,07-0a-00-00,06-06-00-00,06-06-00-00,
02-06-00-00,02-06-00-00,02-09-00-00,02-0a-00-00,06-06-00-00,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-00,07-02-00-00,07-07-00-00,07-0d-00-00,07-06-00-00,07-06-00-00,07-0b-00-00,06-06-00-00,06-06-00-00,
02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,06-06-00-01,06-06-00-00,07-00-00-00,07-05-00-00,07-05-00-00,07-05-00-00,07-0a-00-00,06-06-00-00,06-06-00-00,06-06-00-01,07-01-00-00,07-06-00-00,07-06-00-00,07-0b-00-00,06-06-00-00,06-06-00-00,
02-06-0a-00,02-06-0a-02,02-0b-00-00,06-06-00-01,06-06-00-01,06-06-00-01,07-02-00-00,07-0d-00-00,07-06-00-00,07-06-00-00,07-09-00-00,07-05-00-00,07-0a-00-00,06-06-00-01,07-02-00-00,07-0d-00-00,07-08-00-00,07-0c-00-00,06-06-00-01,06-06-00-00,
02-06-0a-01,02-08-0a-03,02-0c-00-00,06-06-00-03,06-06-00-01,06-06-00-01,06-06-00-01,07-01-00-00,07-08-00-00,07-07-00-00,07-07-00-00,07-0d-00-00,07-0b-00-00,06-06-00-01,06-06-00-00,07-02-00-00,07-0c-00-00,06-06-00-00,06-06-00-01,06-06-00-00,
02-08-00-00,02-0c-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,07-00-00-00,07-0e-00-00,07-0b-00-00,06-06-00-00,06-06-00-00,07-02-00-00,07-0c-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,
02-0b-07-00,06-06-07-02,06-06-07-04,06-06-00-01,06-06-00-01,06-06-00-01,07-02-00-00,07-07-00-00,07-0c-00-00,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,02-00-00-00,02-05-00-00,
02-0b-07-01,06-06-07-03,06-06-07-05,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,02-00-00-00,02-0a-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,02-00-00-00,02-0e-00-00,02-06-00-00,
02-0b-00-00,06-06-00-01,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-01,06-06-00-01,02-00-00-00,02-0e-00-00,02-09-07-00,02-0a-07-02,06-06-07-04,06-06-00-01,06-06-00-01,02-00-00-00,02-0e-00-00,02-06-00-00,02-06-00-00,
02-09-00-00,02-05-00-00,02-0a-00-00,06-06-00-03,06-06-00-01,06-06-00-01,06-06-00-03,02-00-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-06-07-01,02-0b-07-03,06-06-07-05,06-06-00-01,06-06-00-01,02-01-00-00,02-06-09-00,02-06-09-02,02-06-00-00,
02-06-09-00,02-06-09-02,02-09-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-06-00-00,02-06-0a-00,02-06-0a-02,02-09-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-0e-00-00,02-06-09-01,02-06-09-03,02-06-00-00,
02-06-09-01,02-06-09-03,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-0a-01,02-06-0a-03,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
