02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-02-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0d-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
02-09-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-0a-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0c-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,05-06-00-00,02-01-00-00,
