1;2
54-58,16-19,1-12:21;54-58,1-10,1-4:23;50-54,0-19,0-19:29;50-54,0-19,0-19:32;54-57,1-10,1-4:35;57-60,5-14,7-15:39;53-58,16-19,1-12:46;52-58,15-19,1-12:50;50-52,5-14,7-15:143;90-100,2-6,15-17:151;
02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,
02-0d-00-00,02-08-00-00,02-0c-00-00,00-06-00-00,00-06-00-01,00-0b-00-00,06-06-00-00,06-06-00-00,02-02-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0c-00-00,06-06-00-03,06-06-00-00,
02-02-00-00,02-0c-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-0b-00-00,06-06-00-00,06-06-00-00,06-06-00-00,02-01-00-00,02-06-00-00,02-08-00-00,02-07-07-00,02-0c-07-02,06-06-07-04,06-06-00-03,06-06-00-01,06-06-00-01,06-06-00-03,06-06-00-00,
00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-0b-00-00,06-06-00-00,06-06-00-00,06-06-00-00,02-01-00-00,02-06-00-00,02-0b-00-00,06-06-07-01,06-06-07-03,06-06-07-05,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,
00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-0b-00-00,06-06-00-00,06-06-00-00,06-06-00-00,02-02-00-00,02-0d-00-00,02-09-00-00,02-05-00-00,02-0a-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,
00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-01,00-0b-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-09-07-00,02-0a-07-02,06-06-07-04,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-03,
00-06-00-00,00-06-00-01,00-08-00-01,00-07-00-00,00-07-00-01,00-0c-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-00,02-02-00-00,02-07-00-00,02-07-00-00,02-0d-07-01,02-0b-07-03,06-06-07-05,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-03,
02-0a-00-00,00-07-00-01,00-0c-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,02-01-00-00,02-09-00-00,02-0a-00-00,06-06-00-00,06-06-00-03,06-06-00-03,06-06-00-00,
02-0b-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,02-02-00-00,02-0d-00-00,02-09-00-00,02-05-00-00,02-0a-00-00,06-06-00-03,06-06-00-00,
02-0b-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,02-02-00-00,02-07-00-00,02-0d-00-00,02-09-00-00,02-0a-00-00,06-06-00-00,
02-0b-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-00,02-00-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-0a-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,02-01-00-00,02-06-00-00,02-0b-00-00,06-06-00-00,
02-09-00-00,02-0a-00-00,06-06-00-00,06-06-00-00,02-00-00-00,02-0e-00-00,02-08-00-00,02-07-00-00,02-0d-00-00,02-09-00-00,02-05-00-00,02-0a-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,02-01-00-00,02-06-00-00,02-09-00-00,02-05-00-00,
02-06-00-00,02-09-00-00,02-05-00-00,02-05-00-00,02-0e-00-00,02-06-07-00,02-0b-07-02,00-06-07-04,02-02-00-00,02-0d-00-00,02-06-00-00,02-09-00-00,02-0a-00-00,06-06-00-00,06-06-00-01,06-06-00-01,02-02-00-00,02-0d-00-00,02-08-00-00,02-07-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-07-01,02-0c-07-03,00-06-07-05,00-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-09-00-00,02-0a-00-00,06-06-00-01,06-06-00-01,06-06-00-00,02-01-00-00,02-0b-00-00,06-06-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-01-00-00,02-08-00-00,02-07-00-00,02-0d-00-00,02-0b-00-00,06-06-00-01,06-06-00-01,06-06-00-00,02-01-00-00,02-0b-00-00,06-06-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,02-02-00-00,02-0c-00-00,00-06-00-00,02-01-00-00,02-09-07-00,02-0a-07-02,06-06-07-04,06-06-00-00,02-01-00-00,02-0b-00-00,06-06-00-00,
02-06-00-00,02-08-00-00,02-07-00-00,02-0c-00-00,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,02-02-00-00,02-0d-07-01,02-0b-07-03,06-06-07-05,06-06-00-00,02-01-00-00,02-0b-00-00,06-06-00-00,
02-07-00-00,02-0c-00-00,00-06-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,02-01-00-00,02-09-00-00,02-0a-00-00,06-06-00-00,02-01-00-00,02-09-00-00,02-05-00-00,
00-06-00-00,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,02-02-00-00,02-0d-00-00,02-09-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-06-00-00,
00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-02-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
