2;3
60-64,0-19,0-19:43;60-64,0-19,0-19:52;60-64,0-19,0-19:54;63-68,13-19,7-18:56;63-68,13-19,7-18:58;63-68,0-6,9-18:60;63-68,0-6,9-18:63;63-68,0-15,0-6:66;65-70,0-15,0-6:74;63-68,0-15,0-6:77;65-70,13-19,7-18:79;65-70,0-6,9-18:81;
02-08-00-00,02-0c-00-00,06-06-00-00,06-06-00-00,06-06-00-00,00-02-00-00,00-07-00-01,00-0d-00-00,00-06-00-00,00-06-00-00,02-01-00-00,02-0b-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,02-01-00-00,
02-0c-07-00,06-06-07-02,06-06-07-04,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,00-02-00-00,00-0d-00-00,02-00-00-00,02-0e-00-00,02-09-00-00,02-0a-00-00,00-06-00-03,00-06-00-03,00-06-00-03,00-06-00-00,00-06-00-01,00-06-00-01,02-01-00-00,
06-06-07-01,06-06-07-03,06-06-07-05,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,00-01-00-00,02-02-00-00,02-0d-00-00,02-06-00-00,02-0b-00-00,00-06-00-03,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,02-01-00-00,
06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,00-01-00-00,00-06-00-00,02-02-00-00,02-07-00-00,02-0c-00-00,00-06-00-03,00-06-00-03,00-08-00-00,00-07-00-01,00-07-00-01,02-00-00-00,02-0e-00-00,
06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,00-02-00-00,00-07-00-00,00-07-00-01,00-07-00-01,00-07-00-01,00-07-00-01,00-07-00-01,00-0c-00-00,06-06-00-01,06-06-00-01,02-01-00-00,02-06-00-00,
06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,02-01-00-00,02-06-00-00,
06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,02-00-00-00,02-0a-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,02-00-00-00,02-05-00-00,02-0e-0a-00,02-06-0a-02,
06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-01,02-00-00-00,02-05-00-00,02-0e-00-00,02-09-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-06-0a-01,02-06-0a-03,
06-06-00-01,06-06-00-01,06-06-07-00,06-06-07-02,06-06-07-04,02-00-00-00,02-05-00-00,02-0e-00-00,02-06-09-00,02-06-09-02,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
06-06-00-01,06-06-00-01,06-06-07-01,06-06-07-03,06-06-07-05,02-02-00-00,02-0d-00-00,02-06-00-00,02-06-09-01,02-06-09-03,02-08-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-0a-00,02-06-0a-02,02-06-00-00,02-06-00-00,02-06-00-00,
06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,02-01-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,06-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-06-0a-01,02-06-0a-03,02-06-00-00,02-06-00-00,02-06-00-00,
06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,02-02-00-00,02-0d-00-00,02-06-00-00,02-0b-07-00,06-06-07-02,06-06-07-04,02-02-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,02-02-00-00,02-07-00-00,02-0c-07-01,06-06-07-03,06-06-07-05,06-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,02-02-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
02-0a-00-00,06-06-00-00,06-06-00-01,06-06-00-00,06-06-00-00,00-00-00-00,00-05-00-00,00-0a-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,02-01-00-00,02-06-00-00,02-06-09-00,02-06-09-02,02-06-00-00,02-06-00-00,
02-09-00-00,02-05-00-00,02-0a-00-00,00-05-00-04,00-05-00-04,00-0e-00-04,00-06-00-00,00-0b-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,02-02-00-00,02-0d-00-00,02-08-09-01,02-07-09-03,02-0d-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-09-00-00,02-05-00-00,02-0a-00-00,00-06-00-04,00-06-00-04,00-09-00-01,00-05-00-01,00-05-00-00,00-05-00-00,00-0a-00-01,06-06-00-01,06-06-00-01,06-06-00-03,02-02-00-00,02-0c-00-00,06-06-00-00,02-02-00-00,02-0d-00-00,
02-06-00-00,02-06-09-00,02-06-09-02,02-06-00-00,02-09-00-00,02-0a-00-00,00-06-00-04,00-06-00-00,00-06-00-04,00-06-00-01,00-06-00-01,00-0b-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,02-01-00-00,
