1;1
3-5,12-17,13-18:1;3-5,9-13,3-9:4;3-5,2-9,11-16:7;5-10,0-19,0-19:10;5-10,0-19,0-19:13;4-7,0-19,0-19:16;4-7,0-19,0-19:19;10-12,12-17,13-18:21;5-10,14-19,5-8:23;10-12,9-13,3-9:25;5-10,14-19,5-8:27;5-10,1-7,17-19:35;10-12,2-9,11-16:37;5-10,1-7,17-19:41;
02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0d-00-00,
02-08-00-00,02-0c-00-00,00-06-00-03,00-06-00-00,00-06-00-00,02-02-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-0a-00,02-08-0a-02,02-07-00-00,02-07-00-00,02-0c-00-00,00-06-00-00,00-06-00-01,00-06-00-01,02-02-00-00,
02-0b-00-00,00-06-00-00,00-06-00-03,00-06-00-00,00-06-00-00,00-06-00-03,00-06-00-00,02-02-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-0a-01,02-0b-0a-03,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,
02-0b-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-03,00-06-00-03,00-06-00-00,00-06-00-00,00-06-00-03,02-01-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,
02-0b-00-00,00-06-00-03,00-06-00-00,02-00-00-00,02-0a-00-00,00-06-00-00,02-00-00-00,02-05-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-01,00-06-00-00,
02-09-00-00,02-05-00-00,02-05-00-00,02-0e-00-00,02-09-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-01,00-06-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-06-09-00,02-06-09-02,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-01,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-06-09-01,02-06-09-03,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-0c-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-01,02-00-00-00,02-05-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0c-00-00,06-06-00-00,00-01-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,02-01-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,06-06-00-00,06-06-00-00,06-06-00-01,06-06-00-01,06-06-00-01,00-01-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,02-00-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-0b-00-00,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-01,06-06-00-00,00-02-00-00,00-07-00-00,00-0d-00-00,00-06-00-00,00-06-00-00,02-00-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
