1;1
5-10,3-19,3-16:1;
02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0d-00-00,
02-08-00-00,02-0c-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-02-00-00,02-07-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-0c-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-02-00-00,
02-0b-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-02-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,
02-0b-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,
02-0b-00-00,00-06-00-00,00-06-00-00,02-00-00-00,02-0a-00-00,00-06-00-00,02-00-00-00,02-05-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,
02-09-00-00,02-05-00-00,02-05-00-00,02-0e-00-00,02-09-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,00-06-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,02-00-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-0c-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,02-00-00-00,02-0e-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-07-00-00,02-0c-00-00,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-01-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,02-00-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-01,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,02-00-00-00,02-05-00-00,02-0e-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,02-02-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-00,02-02-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-09-00-00,02-0a-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-00,02-01-00-00,02-06-00-00,02-06-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-00,02-00-00-00,02-05-00-00,02-0a-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-00,02-02-00-00,02-07-00-00,02-0d-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-09-00-00,02-0a-00-00,00-06-00-01,00-06-00-01,02-00-00-00,02-0e-00-00,02-06-00-00,02-09-00-00,02-05-00-00,02-05-00-00,02-0a-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-01-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,00-06-00-01,00-06-00-00,02-02-00-00,02-07-00-00,02-0d-00-00,02-06-00-00,02-06-00-00,02-06-00-00,02-09-00-00,02-05-00-00,02-05-00-00,02-0a-00-00,00-06-00-00,00-06-00-00,02-01-00-00,
02-06-00-00,02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,02-02-00-00,02-07-00-00,02-0d-00-00,02-08-00-00,02-07-00-00,02-07-00-00,02-0d-00-00,02-09-00-00,02-0a-00-00,00-06-00-00,02-02-00-00,
02-06-00-00,02-06-00-00,02-08-00-00,02-0c-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-00,02-01-00-00,02-0b-00-00,00-06-00-00,00-06-00-00,02-02-00-00,02-0d-00-00,02-0b-00-00,00-06-00-00,00-06-00-00,
02-06-00-00,02-06-00-00,02-0b-00-00,00-06-00-01,00-06-00-00,00-06-00-00,00-06-00-00,00-06-00-01,00-06-00-01,00-06-00-01,00-06-00-00,02-01-00-00,02-0b-00-00,00-06-00-00,00-06-00-00,00-06-00-00,02-01-00-00,02-0b-00-00,00-06-00-00,00-06-00-00,
